specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
1.58E+18,1403,53227,548,237.464,34.52047,0.118714,11.74325,9.882391
5.23E+17,464,51908,569,60.51328,-5.274783,0.06617697,6.039295,9.222641
2.50E+18,2221,53792,231,175.4635,26.86768,0.05110764,5.934911,9.35376
2.23E+18,1984,53433,455,188.4847,40.99693,0.1140565,13.56114,9.951437
3.40E+17,302,51688,539,212.2344,1.014198,0.1240598,9.011106,9.905746
1.57E+18,1394,53108,486,214.1832,44.03429,0.1430712,10.16821,10.46315
9.58E+17,851,52376,218,199.5153,3.927255,0.09927369,14.93761,9.771619
6.52E+17,579,52338,553,163.357,4.779198,0.07040919,7.498076,9.30619
1.53E+18,1359,53002,103,157.3024,40.70548,0.147029,21.39503,10.24446
1.56E+18,1381,53089,528,216.9841,38.97232,0.190552,7.930893,10.86345
2.90E+18,2580,54092,482,144.7642,13.51662,0.1205596,10.08926,10.63604
1.81E+18,1611,53147,578,181.5046,13.23867,0.1249949,12.75162,10.02413
2.49E+18,2211,53786,99,166.22,27.96114,0.09130713,12.34213,10.59931
2.44E+18,2165,53917,218,234.6065,23.24471,0.01915858,6.74018,8.660257
1.00E+18,890,52583,576,119.2749,33.01501,0.2259361,14.99923,10.2257
3.13E+18,2783,54524,150,208.6133,22.93963,0.1026164,12.33498,10.34095
1.59E+18,1408,52822,467,246.5529,27.53571,0.1313435,14.14718,10.92244
5.66E+17,503,51999,248,154.6059,1.182484,0.0216586,9.094748,6.470332
1.81E+18,1610,53144,101,179.3565,11.91639,0.1646383,8.943638,10.83693
9.53E+17,846,52407,505,190.53,5.507262,0.02340935,16.24763,6.784682
2.25E+18,1999,53503,485,184.272,34.37157,0.09214527,13.48055,9.671591
1.57E+18,1398,53146,420,225.0135,40.61497,0.1333683,8.531142,10.26789
2.04E+18,1810,53794,254,213.1201,8.335564,0.04002659,17.07002,9.590055
6.48E+17,575,52319,633,156.8326,4.746627,0.1710506,11.36393,10.53144
9.45E+17,839,52373,445,176.2648,6.010037,0.1637784,13.87674,10.85014
2.57E+18,2283,53729,471,134.4579,19.31775,0.1223565,10.01342,9.86319
2.18E+18,1938,53379,362,139.6328,31.30271,0.04162661,5.303332,9.096498
5.77E+17,512,51992,163,172.0202,1.678519,0.07214788,8.246478,9.708946
2.01E+18,1788,54468,166,145.5999,64.40485,0.07486771,32.93494,10.78881
1.80E+18,1602,53117,225,163.2636,11.26659,0.07543219,15.22675,9.671542
2.39E+18,2124,53770,111,212.4556,24.43613,0.1597962,7.836139,10.64953
3.13E+18,2776,54554,248,220.1501,17.49174,0.09618255,13.38495,9.68078
8.65E+17,768,52281,417,144.3078,54.05723,0.0375666,3.138412,6.942376
9.92E+17,881,52368,179,177.6353,51.83535,0.07771455,15.51512,10.33063
2.43E+18,2159,54328,472,230.5153,20.51195,0.09089589,13.01983,10.40029
1.65E+18,1467,53115,590,212.6052,44.79419,0.08973011,11.63179,9.723791
1.39E+18,1234,52724,204,145.4467,7.538804,0.1185292,7.512515,10.07332
1.99E+18,1770,53171,592,192.9737,15.50366,0.08617486,6.362461,10.11929
3.16E+17,281,51614,404,171.6209,0.9830885,0.1163828,14.74726,9.978228
2.00E+18,1777,53857,391,206.7784,14.1732,0.0769381,7.070186,9.883024
1.50E+18,1330,52822,457,228.2356,50.00154,0.1153373,12.42373,10.5316
1.95E+18,1731,53884,599,244.8342,6.384209,0.1185415,8.018386,10.10577
2.52E+18,2235,53847,90,188.1856,26.48442,0.09220327,9.408001,10.00314
2.06E+18,1833,54561,550,229.203,6.25308,0.1154138,10.25006,10.54134
2.50E+18,2222,53799,200,176.5087,29.58863,0.03359192,16.23658,9.506291
1.07E+18,951,52398,133,170.0233,58.10623,0.01784774,6.15723,8.758627
2.65E+18,2356,53786,432,159.1152,27.77875,0.08381218,16.98378,10.38518
1.91E+18,1692,53473,108,254.4745,25.98491,0.1377658,10.50903,10.36287
1.08E+18,958,52410,446,197.6816,60.59096,0.02752109,23.02794,9.552407
2.98E+18,2651,54507,418,198.4603,22.90844,0.07519818,13.95591,9.356904
1.93E+18,1717,53883,495,226.4234,9.604306,0.07828167,12.31724,10.28881
6.66E+17,591,52022,412,228.876,3.834777,0.09786645,29.59317,11.37129
2.17E+18,1928,53327,384,126.9415,24.85069,0.01249584,16.24851,8.861058
2.42E+18,2148,54526,82,224.2681,21.37506,0.04516818,12.83998,9.61097
1.02E+18,906,52368,398,160.0334,55.57862,0.0658062,16.07486,10.22378
3.35E+18,2973,54591,106,259.7516,32.77456,0.1082091,17.14953,10.27105
2.06E+18,1832,54259,95,227.694,4.998747,0.08425438,10.02635,10.3623
