specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
2.995e+18,2660.0,54504.0,403.0,190.0523,26.15763,0.1192205,16.68286,9.778196
1.03021e+18,915.0,52443.0,60.0,211.399,-2.94715,0.06535163,11.44749,9.151098
1.5031e+18,1335.0,52824.0,92.0,241.6006,40.33352,0.05110266,1.626311,9.343879
2.91948e+18,2593.0,54175.0,69.0,159.8754,17.85074,0.1139181,7.771667999999999,9.810901
1.77231e+18,1574.0,53476.0,506.0,246.5827,25.35507,0.1245666,12.22381,9.894538
2.23944e+18,1989.0,53772.0,80.0,194.21,38.09069,0.1429896,9.985363,10.44752
3.32155e+18,2950.0,54559.0,535.0,237.1475,5.534948,0.09878331,10.66546,9.654011
6.88076e+17,611.0,52055.0,548.0,227.3539,61.48629,0.07044517,12.98369,9.372711
7.01519e+17,623.0,52051.0,302.0,242.5033,50.43092,0.14755410000000002,11.42117,10.3013
1.58644e+18,1409.0,52824.0,162.0,248.4438,25.79741,0.1906182,5.414259,10.84895
2.97806e+18,2645.0,54477.0,189.0,184.3767,21.84327,0.120596,15.93348,10.62749
1.84987e+18,1643.0,53143.0,62.0,214.7575,35.78279000000001,0.1256345,12.1574,10.00047
1.18002e+18,1048.0,52736.0,271.0,221.9236,47.90979,0.09138017,15.51229,10.59909
1.54035e+18,1368.0,53084.0,423.0,177.6103,45.93893,0.01900571,5.703398,8.638347
1.95013e+18,1732.0,53501.0,251.0,244.2976,6.642638000000002,0.2290608,23.71485,10.03633
2.73152e+18,2426.0,53795.0,333.0,128.0458,12.18149,0.1026119,14.78226,10.34982
2.55812e+18,2272.0,53713.0,279.0,124.5665,15.06727,0.13134079999999998,13.7171,10.92628
1.42889e+18,1269.0,52937.0,437.0,130.1884,30.47861,0.01887229,13.41218,6.201056
2.05154e+18,1822.0,53172.0,555.0,239.4821,6.320423,0.164674,9.335368,10.83136
8.35523e+17,742.0,52263.0,384.0,344.4759,14.59149,0.03037398,5.081399,6.284217
2.74275e+18,2436.0,54054.0,208.0,137.5933,13.18232,0.09209243,14.76226,9.60001
9.9092e+17,880.0,52367.0,466.0,174.8898,52.399,0.1334435,13.45006,10.26083
2.4185e+18,2148.0,54526.0,233.0,223.525,21.68428,0.04012064,7.9951690000000015,9.560107
2.85201e+18,2533.0,54585.0,371.0,247.682,12.2973,0.1713369,10.20276,10.54877
2.35546e+18,2092.0,53460.0,264.0,166.7624,31.21038,0.1636281,12.11044,10.84623
1.37367e+18,1220.0,52723.0,260.0,164.9778,8.694560000000001,0.1227144,9.820073,9.850328
2.39152e+18,2124.0,53770.0,403.0,212.2722,25.64451,0.04160238,6.884946,9.0875
2.35544e+18,2092.0,53460.0,200.0,167.3226,31.154,0.07211378,10.33404,9.709574
1.57756e+18,1401.0,53144.0,639.0,235.193,35.84319,0.07486755,17.60323,10.78839
1.63491e+18,1452.0,53112.0,391.0,184.952,42.43802,0.07532744,6.115663,9.679995
1.79363e+18,1593.0,52991.0,266.0,141.4395,33.47393,0.1596885,14.39146,10.64694
2.5559e+18,2270.0,53714.0,404.0,123.1622,15.01308,0.09654367,12.91406,9.644138
9.59287e+17,852.0,52375.0,74.0,202.6974,4.653861,0.03691826,10.10241,6.993764
5.25904e+17,467.0,51901.0,397.0,130.7715,1.148796,0.07760298,18.11557,10.33406
8.35565e+17,742.0,52263.0,535.0,345.5929,14.97389,0.09089577,18.25318,10.40093
2.56043e+18,2274.0,53726.0,484.0,126.7004,16.0546,0.08992533,7.693914,9.716944
1.37025e+18,1217.0,52672.0,98.0,150.2838,41.04169,0.1189482,16.62828,10.08636
2.11343e+18,1877.0,54464.0,438.0,139.2444,66.43658,0.08613551,12.68451,10.11445
1.00783e+18,895.0,52581.0,541.0,130.0545,41.54506,0.1164413,11.52314,9.973024
1.44354e+18,1282.0,52759.0,505.0,201.3575,49.60595,0.07702141,8.362326,9.875835
2.24408e+18,1993.0,53762.0,574.0,203.6197,35.29612,0.1153653,12.70327,10.53808
2.27896e+18,2024.0,53503.0,502.0,206.9373,33.44529,0.1186262,7.133651,10.11185
1.10014e+18,977.0,52410.0,496.0,258.291,29.27497,0.0922467,7.0927690000000005,10.00965
3.13119e+18,2781.0,54266.0,232.0,230.5306,15.77563,0.1153849,11.05108,10.54073
2.41294e+18,2143.0,54184.0,509.0,222.9098,24.77488,0.03350242,12.4003,9.498295
6.39652e+17,568.0,52254.0,511.0,141.8789,3.711448,0.01784512,6.320318,8.719783999999999
1.79028e+18,1590.0,52974.0,366.0,134.0379,30.71105,0.08384355,12.42801,10.39147
6.8233e+17,606.0,52365.0,126.0,214.8501,61.55054000000001,0.1376895,11.28562,10.35227
1.00656e+18,894.0,52615.0,35.0,128.1669,39.38055,0.0276808,23.87503,9.556232
1.63256e+18,1450.0,53120.0,16.0,185.2157,42.44325,0.0749113,9.538133,9.298789
1.04265e+18,926.0,52413.0,227.0,234.8113,-1.906493,0.07823563,14.428920000000002,10.28465
5.59699e+17,497.0,51989.0,461.0,206.0783,66.41029,0.09752323,13.57591,11.36248
2.1685e+18,1926.0,53317.0,68.0,125.4761,22.64132,0.01248417,15.87107,9.03045
2.94092e+18,2612.0,54480.0,253.0,186.9421,19.16715,0.04522834,14.70107,9.595772
2.8273e+18,2511.0,53882.0,587.0,177.7012,23.47174,0.06589395,17.46503,10.22674
1.52564e+18,1355.0,52823.0,183.0,233.704,32.30709,0.1081268,8.191103,10.26955
9.90806e+17,880.0,52367.0,50.0,176.1922,51.00186,0.08425251,14.48576,10.36081
1.82627e+18,1622.0,53385.0,214.0,178.6044,6.6094089999999985,0.1245108,6.292123,10.45549
5.93524e+17,527.0,52342.0,637.0,203.0626,2.417355,0.05682778,9.431333,9.564959
5.83313e+17,518.0,52282.0,353.0,182.7192,2.634693,0.06685547,12.53417,9.722256
2.52093e+18,2239.0,53726.0,157.0,192.7361,29.64849,0.09175704,20.38246,10.63075
2.07624e+18,1844.0,54138.0,277.0,224.8755,30.24379,0.09048971,27.62885,10.70114
1.00883e+18,896.0,52592.0,75.0,132.7649,42.78299000000001,0.09092116,15.38686,10.6317
1.6112e+18,1431.0,52992.0,128.0,159.8722,43.10754,0.086172,7.281453999999999,10.30149
4.09884e+17,364.0,52000.0,207.0,246.1889,-1.169291,0.1019839,19.89839,10.42176
1.76992e+18,1572.0,53177.0,27.0,249.1226,23.29212,0.0999247,9.944033,10.49249
7.51061e+17,667.0,52163.0,313.0,31.49781,-9.335014,0.05600248,5.974967,9.763043
1.1947e+18,1061.0,52641.0,443.0,120.8413,32.91302,0.03522518,17.37774,9.665349
2.72249e+18,2418.0,53794.0,223.0,119.7693,11.08305,0.05922874,10.0823,9.464477
1.80033e+18,1599.0,53089.0,55.0,158.3744,10.49106,0.1089839,12.25791,10.4129
1.89722e+18,1685.0,53463.0,291.0,247.4444,29.99438,0.08779417,14.209270000000002,10.32219
2.41177e+18,2142.0,54208.0,348.0,220.7822,27.52865,0.09612496,12.5698,10.38181
9.50431e+17,844.0,52378.0,625.0,185.2247,5.5976040000000005,0.09715064,10.23516,10.1983
2.82501e+18,2509.0,54180.0,476.0,176.0505,19.91791,0.07238267,8.965387,9.862887
1.08204e+18,961.0,52615.0,189.0,157.3789,46.16824,0.1650689,15.10345,10.77906
3.40079e+17,302.0,51688.0,207.0,211.6791,-1.134206,0.1422394,9.487289,10.47881
2.83844e+18,2521.0,54538.0,169.0,239.691,14.48036,0.1349493,16.58195,10.9592
9.35689e+17,831.0,52294.0,240.0,135.1767,42.62511,0.09138725,7.9703979999999985,9.532929
1.81843e+18,1615.0,53166.0,370.0,187.0003,12.98486,0.08388547,6.298431,10.46199
1.86455e+18,1656.0,53533.0,206.0,241.4891,23.98558,0.03239226,10.35005,9.488278
1.31519e+18,1168.0,52731.0,508.0,237.633,46.77757,0.1162778,10.38241,10.47936
6.94809e+17,617.0,52072.0,468.0,235.2654,56.85481,0.1123134,8.880075,10.57773
3.34731e+18,2973.0,54591.0,29.0,260.2232,32.87954000000001,0.1747182,14.00677,10.63437
6.46385e+17,574.0,52355.0,429.0,153.4564,4.501475,0.09722294,5.008178,10.08536
1.78799e+18,1588.0,52965.0,220.0,130.8992,28.48276,0.08419104,20.46742,10.59787
1.93997e+18,1723.0,53905.0,175.0,232.6216,8.276014,0.08739594,17.12387,10.56376
1.8589e+18,1651.0,53442.0,143.0,231.3685,29.563090000000006,0.1094559,9.233334,10.45731
2.4455e+18,2172.0,54230.0,176.0,238.8813,19.13015,0.06069428,20.29307,9.714507
1.95689e+18,1738.0,53051.0,290.0,133.8305,9.288236,0.0543284,7.314412,9.752221
1.91304e+18,1699.0,53148.0,486.0,202.3187,12.48935,0.02443038,9.596226,9.206879
1.3884e+18,1233.0,52734.0,585.0,190.0405,10.56566,0.1155899,10.6342,10.60059
2.07729e+18,1845.0,54144.0,6.0,229.1117,28.231070000000006,0.1130252,7.998100999999999,10.40776
1.95125e+18,1733.0,53047.0,245.0,111.0283,37.92533,0.06093568,26.062620000000006,10.25761
2.90829e+18,2583.0,54095.0,347.0,146.5764,16.8483,0.17153139999999995,14.82443,11.03152
2.44211e+18,2169.0,53556.0,119.0,237.4892,22.39659,0.05400161,28.011840000000007,10.6696
1.61809e+18,1437.0,53046.0,629.0,168.0812,41.29818,0.0479718,8.939508,9.037837
6.47564e+17,575.0,52319.0,623.0,157.0154,4.492789,0.1547655,6.866555,10.77976
2.79904e+18,2486.0,53876.0,200.0,165.1218,22.68537,0.1178896,12.38195,10.66514
8.54587e+17,759.0,52254.0,105.0,123.3454,38.47108,0.07974003,12.77298,10.14292
2.06506e+18,1834.0,54562.0,567.0,230.7535,6.607208,0.1364969,16.144070000000006,10.05859
3.80581e+17,338.0,51694.0,98.0,194.8088,-3.181,0.08423716,9.536212,10.23186
1.78579e+18,1586.0,52945.0,394.0,127.112,26.59806,0.1296739,8.313929,10.43447
6.25017e+17,555.0,52266.0,518.0,142.8633,55.15943000000001,0.07935688,16.00895,9.975092
3.24049e+18,2878.0,54465.0,560.0,22.37249,-9.440473,0.14468029999999998,21.61547,10.70652
2.80589e+18,2492.0,54178.0,524.0,168.5335,22.567,0.13484010000000002,11.77684,10.54951
2.00973e+18,1785.0,54439.0,13.0,134.8191,58.77168,0.1007451,8.627239999999999,10.05883
2.37581e+18,2110.0,53467.0,600.0,203.2931,31.46773,0.06150191,20.11224,10.33007
2.4737e+18,2197.0,53555.0,364.0,241.3125,16.89676,0.09072986,8.77207,9.910252
5.20274e+17,462.0,51909.0,392.0,54.41986,-6.20495,0.0956999,11.48276,10.39552
2.94776e+18,2618.0,54506.0,555.0,199.1161,20.29101,0.111637,10.43907,10.30865
2.90934e+18,2584.0,54153.0,39.0,150.7429,14.2405,0.1109413,15.60226,9.814084
1.33986e+18,1190.0,52670.0,141.0,133.5629,4.425757,0.07055501,10.87534,9.274446
2.10217e+18,1867.0,53317.0,427.0,114.6025,48.36528,0.06216302,6.632027000000001,10.06431
1.38947e+18,1234.0,52724.0,397.0,145.2509,8.639710000000001,0.08465179,15.916579999999998,10.53754
1.04269e+18,926.0,52413.0,395.0,234.4017,-1.391984,0.120684,13.776179999999998,10.8283
2.48502e+18,2207.0,53558.0,589.0,249.3018,17.38252,0.1659922,6.399127,10.44254
