fitsname_1,age_lightW,metal_lightW,mass,id,objra,objdec,z_obj,snrr,AV_SFD,Member,class_my,galpair_index
spec-55890-F9008_sp13-172.fits,25800000.0,0.05133425,9.5368,41314,153.30629,0.44445,0.118461,2.29,0.1066,B,-1,770000
spec-55890-F9008_sp14-154.fits,1830000000.0,0.004395836,9.0112,16767,150.4433,0.18425999999999998,0.0657788,2.26,0.0878,A,1,770001
spec-55892-F9205_sp03-138.fits,3420000000.0,0.029009532,9.3492,10281,122.46188000000001,6.7152,0.0511,11.14,0.0782,B,1,770002
spec-55892-F9205_sp11-030.fits,667000000.0,0.035365644,9.2251,39272,123.44543,8.38181,0.114044,5.4,0.0627,A,-1,770003
spec-55892-F9205_sp12-020.fits,6110000000.0,0.04438659,9.8378,43334,124.46973,7.57755,0.124525,5.83,0.0585,A,-1,770004
spec-55892-F9205_sp12-245.fits,295000000.0,0.019700032,10.4581,48205,123.98402,8.28538,0.142973,5.97,0.0571,B,-1,770005
spec-55892-F9205_sp15-155.fits,8010000000.0,0.012012236,9.5583,33974,122.12316000000001,7.385669999999999,0.0993561,9.39,0.0835,B,-1,770006
spec-55895-B9505_sp05-209.fits,2910000000.0,0.046325284,9.3392,18837,136.295792,25.401032999999998,0.070509,5.23,0.1123,B,-1,770007
spec-55918-F5591807_sp01-043.fits,7420000000.0,0.04093654,10.2607,48945,179.14827,4.73834,0.147521,3.22,0.0675,A,-1,770008
spec-55918-F5591807_sp10-096.fits,13000000000.0,0.0052,10.8542,53049,177.09741,6.35582,0.19042,2.31,0.046,A,-1,770009
spec-55919-B5591906_sp09-104.fits,4680000000.0,0.052631899999999995,10.6329,42049,185.018395,31.244282000000002,0.12061,6.03,0.0547,B,-1,770010
spec-55921-F5592105_sp01-139.fits,5720000000.0,0.01703638,10.0235,43327,163.48145,0.58221,0.12546400000000002,4.19,0.1635,A,-1,770011
spec-55932-F5593201_sp14-077.fits,3390000000.0,0.033042374,10.6037,30060,197.97971,-0.42865,0.09135839999999999,3.32,0.0927,A,-1,770012
spec-55932-F5593201_sp16-026.fits,3470000000.0,0.01200082,8.6634,787,197.9079,0.66982,0.019055900000000004,6.25,0.1242,B,2,770013
spec-55959-F5595902_sp13-077.fits,45400000.0,0.03206169,9.9707,53807,201.1469,5.57198,0.22748600000000002,2.76,0.0928,A,-1,770014
spec-55959-F5595902_sp15-096.fits,13000000000.0,0.017434192,10.3452,35164,198.6739,6.61856,0.102547,0.78,0.1112,B,1,770015
spec-55973-F5597306_sp11-035.fits,3490000000.0,0.062438,10.9249,45245,182.41751000000002,1.54762,0.131349,3.26,0.0773,B,-1,770016
spec-55973-F5597306_sp13-161.fits,6513000.0,0.0052,5.3963,998,183.14378,0.18609,0.0197098,4.1,0.0807,A,-1,770017
spec-55973-F5597306_sp14-156.fits,4870000000.0,0.02105283,10.8351,51405,180.18384,-0.15937,0.164714,6.4,0.0674,B,-1,770018
spec-55974-F5597403_sp12-022.fits,9830319.33,0.005305081999999999,5.5622,2151,148.16136,0.81567,0.025995099999999997,1.05,0.1431,B,-1,770019
spec-55976-F5597602_sp07-216.fits,4850000000.0,0.019453302,9.5521,31133,149.60031,0.5351199999999999,0.092138,4.65,0.0831,B,-1,770020
spec-55976-F5597602_sp16-103.fits,5020000000.0,0.056739082,10.2501,45803,147.67004,4.00706,0.1333,2.64,0.179,B,-1,770021
spec-55976-F5597606_sp09-053.fits,2990000000.0,0.004334244,9.5829,6939,222.51552,0.09749,0.040116000000000006,14.01,0.1452,A,-1,770022
spec-55976-F5597606_sp15-036.fits,1380000000.0,0.00807843,10.5175,51987,221.76674,0.47906000000000004,0.171483,3.59,0.1367,A,-1,770023
spec-55977-F5597703_sp06-216.fits,6150000000.0,0.05287481,10.8486,51398,173.25697,4.78669,0.163696,6.56,0.0995,A,-1,770024
spec-55977-F5597703_sp09-033.fits,912000000.0,0.017645932,9.8389,43213,172.25476,6.51278,0.123528,2.53,0.1328,A,1,770025
spec-55977-F5597703_sp10-199.fits,6190000000.0,0.014023664,9.0944,6925,169.22682,4.72011,0.041555,8.46,0.1566,B,2,770026
spec-55977-F5597703_sp11-101.fits,4490000000.0,0.0044229,9.7011,19777,171.54033,7.83975,0.07208510000000001,3.47,0.1691,B,-1,770027
spec-55977-F5597703_sp11-243.fits,7820000000.0,0.042721286,10.7846,21146,171.39012,7.39958,0.0748987,14.71,0.2246,A,-1,770028
spec-55977-F5597703_sp14-027.fits,3470000000.0,0.009033548,9.685,21795,168.81253,5.77498,0.0754074,5.65,0.1683,B,-1,770029
spec-55977-F5597703_sp16-218.fits,5250000000.0,0.03974872,10.6443,50842,169.70343,7.36742,0.159747,4.7,0.1724,B,-1,770030
spec-55977-F5597705_sp03-241.fits,2530000000.0,0.04304596,9.602,32341,207.81482,1.807,0.0965121,3.68,0.10099999999999999,A,1,770031
spec-55977-F5597705_sp08-182.fits,5734931.97,0.004578788,6.2402,4848,209.56828000000002,1.15636,0.0347996,1.98,0.1122,B,1,770032
spec-55977-F5597705_sp09-103.fits,3580000000.0,0.012279934,10.3355,23290,209.58812,3.48705,0.0776567,21.89,0.0818,A,2,770033
spec-55977-F5597705_sp09-167.fits,8520000000.0,0.017425338000000002,10.4036,30816,209.67528000000001,2.93586,0.0908742,14.08,0.0878,A,-1,770034
spec-55977-F5597705_sp12-045.fits,6180000000.0,0.034650518,9.7146,29867,210.31685,4.12915,0.08981610000000001,7.82,0.0892,A,-1,770035
spec-55977-F5597705_sp12-229.fits,2390000000.0,0.033380754,10.0754,41107,209.94235,4.45385,0.11883699999999998,3.69,0.0987,A,-1,770036
spec-55977-F5597705_sp13-028.fits,395000000.0,0.011412448,10.1133,28528,211.56447999999997,2.53987,0.086187,7.63,0.1101,A,1,770037
spec-55977-F5597705_sp14-023.fits,4850000000.0,0.020366442,9.9455,40571,207.02913999999998,3.22303,0.11648299999999999,4.93,0.0773,B,-1,770038
spec-56013-F5601307_sp04-052.fits,2230000000.0,0.010684888,9.8833,22179,230.03113,-0.22008000000000003,0.07702060000000001,3.0,0.1904,A,1,770039
